Percent Down 90,Avg. Price 90,Percent Down 365,Avg. Price 365,Price Now,Shipping Included,Deal found,AMZ link,Keepa Link,Title,last update,last price change,Sales Rank - Reference,Reviews - Rating,Reviews - Review Count,FBA Pick&Pack Fee,Referral Fee %,Tracking since,Categories - Root,Categories - Sub,Categories - Tree,ASIN,Freq. Bought Together,Type,Manufacturer,Brand,Product Group,Variation Attributes,Item Type,Author,Contributors,Binding,Number of Items,Number of Pages,Publication Date,Languages,Package - Quantity,Package Weight,Package Height,Package Length,Package Width,Listed since,Edition,Release Date,Format,Sales Rank - Current,Sales Rank - 30 days avg.,Sales Rank - 60 days avg.,Sales Rank - 90 days avg.,Sales Rank - 180 days avg.,Sales Rank - 365 days avg.,Sales Rank - Lowest,Sales Rank - Lowest 365 days,Sales Rank - Highest,Sales Rank - Highest 365 days,Sales Rank - Drops last 30 days,Sales Rank - Drops last 60 days,Sales Rank - Drops last 90 days,Sales Rank - Drops last 180 days,Sales Rank - Drops last 365 days,Buy Box - Current,Buy Box - 30 days avg.,Buy Box - 60 days avg.,Buy Box - 90 days avg.,Buy Box - 180 days avg.,Buy Box - 365 days avg.,Buy Box - Lowest,Buy Box - Lowest 365 days,Buy Box - Highest,Buy Box - Highest 365 days,Buy Box - 90 days OOS,Buy Box - Stock,Amazon - Current,Amazon - 30 days avg.,Amazon - 60 days avg.,Amazon - 90 days avg.,Amazon - 180 days avg.,Amazon - 365 days avg.,Amazon - Lowest,Amazon - Lowest 365 days,Amazon - Highest,Amazon - Highest 365 days,Amazon - 90 days OOS,Amazon - Stock,New - Current,New - 30 days avg.,New - 60 days avg.,New - 90 days avg.,New - 180 days avg.,New - 365 days avg.,New - Lowest,New - Lowest 365 days,New - Highest,New - Highest 365 days,New - 90 days OOS,New - Stock,"New, 3rd Party FBA - Current","New, 3rd Party FBA - 30 days avg.","New, 3rd Party FBA - 60 days avg.","New, 3rd Party FBA - 90 days avg.","New, 3rd Party FBA - 180 days avg.","New, 3rd Party FBA - 365 days avg.","New, 3rd Party FBA - Lowest","New, 3rd Party FBA - Lowest 365 days","New, 3rd Party FBA - Highest","New, 3rd Party FBA - Highest 365 days","New, 3rd Party FBA - 90 days OOS","New, 3rd Party FBA - Stock","New, 3rd Party FBM - Current","New, 3rd Party FBM - 30 days avg.","New, 3rd Party FBM - 60 days avg.","New, 3rd Party FBM - 90 days avg.","New, 3rd Party FBM - 180 days avg.","New, 3rd Party FBM - 365 days avg.","New, 3rd Party FBM - Lowest","New, 3rd Party FBM - Lowest 365 days","New, 3rd Party FBM - Highest","New, 3rd Party FBM - Highest 365 days","New, 3rd Party FBM - 90 days OOS","New, 3rd Party FBM - Stock",Buy Box Used - Current,Buy Box Used - 30 days avg.,Buy Box Used - 60 days avg.,Buy Box Used - 90 days avg.,Buy Box Used - 180 days avg.,Buy Box Used - 365 days avg.,Buy Box Used - Lowest,Buy Box Used - Lowest 365 days,Buy Box Used - Highest,Buy Box Used - Highest 365 days,Buy Box Used - 90 days OOS,Buy Box Used - Stock,Used - Current,Used - 30 days avg.,Used - 60 days avg.,Used - 90 days avg.,Used - 180 days avg.,Used - 365 days avg.,Used - Lowest,Used - Lowest 365 days,Used - Highest,Used - Highest 365 days,Used - 90 days OOS,Used - Stock,"Used, like new - Current","Used, like new - 30 days avg.","Used, like new - 60 days avg.","Used, like new - 90 days avg.","Used, like new - 180 days avg.","Used, like new - 365 days avg.","Used, like new - Lowest","Used, like new - Lowest 365 days","Used, like new - Highest","Used, like new - Highest 365 days","Used, like new - 90 days OOS","Used, like new - Stock","Used, very good - Current","Used, very good - 30 days avg.","Used, very good - 60 days avg.","Used, very good - 90 days avg.","Used, very good - 180 days avg.","Used, very good - 365 days avg.","Used, very good - Lowest","Used, very good - Lowest 365 days","Used, very good - Highest","Used, very good - Highest 365 days","Used, very good - 90 days OOS","Used, very good - Stock","Used, good - Current","Used, good - 30 days avg.","Used, good - 60 days avg.","Used, good - 90 days avg.","Used, good - 180 days avg.","Used, good - 365 days avg.","Used, good - Lowest","Used, good - Lowest 365 days","Used, good - Highest","Used, good - Highest 365 days","Used, good - 90 days OOS","Used, good - Stock","Used, acceptable - Current","Used, acceptable - 30 days avg.","Used, acceptable - 60 days avg.","Used, acceptable - 90 days avg.","Used, acceptable - 180 days avg.","Used, acceptable - 365 days avg.","Used, acceptable - Lowest","Used, acceptable - Lowest 365 days","Used, acceptable - Highest","Used, acceptable - Highest 365 days","Used, acceptable - 90 days OOS","Used, acceptable - Stock",List Price - Current,List Price - 30 days avg.,List Price - 60 days avg.,List Price - 90 days avg.,List Price - 180 days avg.,List Price - 365 days avg.,List Price - Lowest,List Price - Lowest 365 days,List Price - Highest,List Price - Highest 365 days,List Price - 90 days OOS,List Price - Stock,New Offer Count - Current,New Offer Count - 30 days avg.,New Offer Count - 60 days avg.,New Offer Count - 90 days avg.,New Offer Count - 180 days avg.,New Offer Count - 365 days avg.,Used Offer Count - Current,Used Offer Count - 30 days avg.,Used Offer Count - 60 days avg.,Used Offer Count - 90 days avg.,Used Offer Count - 180 days avg.,Used Offer Count - 365 days avg.
82%,-,83%,-,-,no,7/22/25 22:00,https://www.amazon.com/dp/0194340457,https://keepa.com/#!product/1-0194340457,Oxford Children's Picture Dictionary for learners of English: A topic-based dictionary for young learners,7/24/25 9:42,7/23/25 15:08,-,-,-,$3.53 ,15.00%,3/4/18,Books,"Reference, Dictionaries & Thesauruses, English",Books > Subjects > Reference > Dictionaries & Thesauruses > English,194340457,-,-,Oxford University Press,-,-,-,-,Author,-,Paperback,-,-,2016,-,-,0.29 kg,0.7 cm,27.4 cm,21.9 cm,3/29/16,-,-,-,"798,380","626,992",-,"4,163,614","4,249,853","4,007,531",-,-,-,-,0,-,-,-,1,-,-,-,-,-,129.56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,163.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$162.74 ,-,-,-,-,-,-,-,-,-,-,-,$120.17 ,-,-,-,-,-,-,$20.50 ,-,-,-,-,$122.39 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$138.87 ,-,-,-,-,-,-,$24.49 ,-,-,-,-,$101.12 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,1,1,-,-,-,-,2
67%,-,98%,-,-,no,7/1/25 21:02,https://www.amazon.com/dp/0739053809,https://keepa.com/#!product/1-0739053809,Rush -- Moving Pictures: Drum Transcriptions (Alfred's Classic Album Editions),7/24/25 10:16,7/1/25 21:02,-,-,-,$3.33 ,15.01%,9/14/14,Books,"Arts & Photography, Music, Instruments, Guitar",Books > Subjects > Arts & Photography > Music > Instruments > Guitar,739053809,-,-,Alfred Music,Alfred Music,-,-,-,Rush,-,Paperback,-,-,8/1/08,-,-,0.20 kg,0.5 cm,29.7 cm,22.4 cm,-,-,-,-,"1,278,999","5,917,782",-,"5,988,619","4,539,093","3,786,107",-,-,-,-,1,-,-,-,2,$16.99 ,-,-,-,-,22.97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$16.99 ,-,-,-,-,16.98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$22.98 ,-,-,-,-,$22.97 ,-,-,-,-,-,-,-,-,-,-,-,"$1,732.49 ",-,-,-,-,-,-,$22.97 ,-,-,-,-,"$1,326.61 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$537.43 ,-,-,-,-,-,-,-,-,-,-,-,"$2,442.75 ",-,-,-,-,-,-,$22.97 ,-,-,-,-,$26.60 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,0,1,-,-,-,-,1
80%,-,61%,-,-,no,7/24/25 4:48,https://www.amazon.com/dp/2070310272,https://keepa.com/#!product/1-2070310272,Fantastique Mątre Renard (FOLIO CADET CLASSIQUE 1),7/24/25 10:16,7/24/25 4:48,-,-,-,$3.40 ,-,5/7/18,Books,-,Books > Subjects,2070310272,-,-,GALLIMARD JEUNE,GALLIMARD JEUNE,-,-,-,Roald Dahl,-,paperback,-,-,11/15/01,-,-,0.00 kg,Missing,Missing,Missing,9/4/12,-,-,-,"884,386","6,788,740",-,"7,320,856","7,300,685","5,760,519",-,-,-,-,2,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$38.34 ,-,-,-,-,$15.19 ,-,-,-,-,-,-,$20.43 ,-,-,-,-,$51.93 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$92.28 ,-,-,-,-,-,-,-,-,-,-,-,$18.30 ,-,-,-,-,-,-,$24.42 ,-,-,-,-,$23.17 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,2,-,-,-,-,2
80%,-,74%,-,-,yes,7/23/25 17:10,https://www.amazon.com/dp/0874208203,https://keepa.com/#!product/1-0874208203,"Seniors' Housing and Care Facilities: Development, Business, and Operations",7/24/25 10:16,7/23/25 18:32,-,-,-,$7.24 ,15.00%,8/18/18,Books,"Arts & Photography, Architecture, Buildings",Books > Subjects > Arts & Photography > Architecture > Buildings,874208203,-,-,Urban Land Institute,Urban Land Institute,-,-,-,"Gordon, Paul",-,Hardcover,-,-,1/31/98,-,-,1.75 kg,4.3 cm,25.7 cm,20.6 cm,-,-,-,-,"524,832","2,710,140",-,"2,642,434","2,568,563","2,295,598",-,-,-,-,2,-,-,-,12,-,-,-,-,-,98.55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$221.55 ,-,-,-,-,143.82,-,-,-,-,-,-,$225.95 ,-,-,-,-,225.94,$79.99 ,-,-,-,-,-,$225.54 ,-,-,-,-,$101.59 ,-,-,-,-,-,-,$23.00 ,-,-,-,-,$62.75 ,-,-,-,-,-,-,$23.00 ,-,-,-,-,$88.64 ,-,-,-,-,-,-,$152.20 ,-,-,-,-,$152.19 ,-,-,-,-,-,-,$169.87 ,-,-,-,-,$93.41 ,-,-,-,-,-,-,$23.00 ,-,-,-,-,$97.75 ,-,-,-,-,-,-,-,-,-,-,-,$32.73 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,6,-,-,-,-,8
79%,-,67%,-,-,no,7/23/25 13:16,https://www.amazon.com/dp/1529414733,https://keepa.com/#!product/1-1529414733,The People Immortal,7/24/25 10:16,7/23/25 13:16,-,-,-,$5.37 ,15.00%,8/19/22,Books,-,Books > Subjects,1529414733,-,-,-,-,-,-,-,Vasily Grossman,-,Hardcover,-,-,-,-,-,0.65 kg,3.2 cm,24.2 cm,16.2 cm,6/21/22,-,-,-,"472,196","3,461,111",-,"3,256,831","2,721,109","2,481,219",-,-,-,-,1,-,-,-,6,-,-,-,-,-,50.55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53.15,-,-,-,-,-,-,-,-,-,-,-,-,$30.23 ,-,-,-,-,-,-,-,-,-,-,$58.10 ,-,-,-,-,-,-,$327.13 ,-,-,-,-,$74.36 ,-,-,-,-,-,-,$24.18 ,-,-,-,-,$72.83 ,-,-,-,-,-,-,-,-,-,-,-,$68.50 ,-,-,-,-,-,-,$24.18 ,-,-,-,-,$80.24 ,-,-,-,-,-,-,$327.13 ,-,-,-,-,$76.58 ,-,-,-,-,-,-,-,-,-,-,-,$59.23 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,3,3,-,-,-,-,3
79%,-,60%,-,-,no,6/25/25 12:30,https://www.amazon.com/dp/1452165343,https://keepa.com/#!product/1-1452165343,The World of Eric Carle(TM) Mini Notes (World of Eric Carle by Chronicle Books),7/24/25 10:16,7/1/25 11:40,-,-,-,$3.68 ,15.01%,12/10/17,Books,"Self-Help, Journal Writing",Books > Subjects > Self-Help > Journal Writing,1452165343,-,-,Chronicle Books,Chronicle Books,-,-,-,"Carle, Eric",-,Novelty Book,-,-,3/6/18,-,-,0.09 kg,3.3 cm,8.9 cm,7.3 cm,7/3/17,-,-,-,"1,506,594","4,019,927",-,"3,722,272","3,242,297","2,804,632",-,-,-,-,1,-,-,-,5,$22.99 ,-,-,-,-,21.11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$22.99 ,-,-,-,-,20.68,-,-,-,-,-,-,$22.99 ,-,-,-,-,19,$12.93 ,-,-,-,-,-,-,-,-,-,-,$20.49 ,-,-,-,-,-,-,-,-,-,-,-,$22.21 ,-,-,-,-,-,-,$22.98 ,-,-,-,-,$57.44 ,-,-,-,-,-,-,-,-,-,-,-,$19.78 ,-,-,-,-,-,-,$22.98 ,-,-,-,-,$46.76 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,1,-,-,-,-,4
79%,-,77%,-,-,yes,6/29/25 16:36,https://www.amazon.com/dp/8425350166,https://keepa.com/#!product/1-8425350166,Cocina conmigo / Gordon Ramsay's Home Cooking: Everything You Need to Know to Ma ke Fabulous Food (Spanish Edition),7/24/25 10:16,7/23/25 13:24,-,-,-,$6.62 ,15.00%,3/26/14,Books,"Cookbooks, Food & Wine, Cooking Education & Reference, Reference","Books > Subjects > Cookbooks, Food & Wine > Cooking Education & Reference > Reference",8425350166,-,-,Grijalbo Ilustrados,GRIJALBO ILUSTRADOS,-,-,-,"Ramsay, Gordon",-,Hardcover,-,-,9/27/16,-,-,1.32 kg,2.6 cm,27.4 cm,20.4 cm,6/12/13,-,-,-,"753,942","3,416,611",-,"3,148,458","3,467,482","3,266,020",-,-,-,-,1,-,-,-,7,-,-,-,-,-,386.73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,373.04,-,-,-,-,-,-,-,-,-,-,-,-,$34.25 ,-,-,-,-,-,-,-,-,-,-,$373.78 ,-,-,-,-,-,-,$25.74 ,-,-,-,-,$133.53 ,-,-,-,-,-,-,$25.74 ,-,-,-,-,$109.74 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$25.74 ,-,-,-,-,$126.79 ,-,-,-,-,-,-,$30.34 ,-,-,-,-,$156.14 ,-,-,-,-,-,-,-,-,-,-,-,$254.61 ,-,-,-,-,-,-,$34.95 ,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,0,6,-,-,-,-,5
77%,-,73%,-,-,no,7/15/25 13:48,https://www.amazon.com/dp/0871352567,https://keepa.com/#!product/1-0871352567,Marvel Graphic Novel #27 Emperor Doom Starring the Mighty Avengers,7/24/25 10:16,7/15/25 13:48,-,-,-,$3.33 ,15.01%,11/11/14,Books,"Comics & Graphic Novels, Publishers, Marvel",Books > Subjects > Comics & Graphic Novels > Publishers > Marvel,871352567,-,-,"The Marvel Entertainment Group, Inc.",Marvel,-,-,-,David Michelinie,-,Paperback,-,-,1987,-,-,0.23 kg,0.3 cm,27.4 cm,21.3 cm,-,-,-,-,"840,125","1,351,492",-,"1,647,040","1,622,139","1,542,475",-,-,-,-,5,-,-,-,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$28.98 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$24.99 ,-,-,-,-,$209.14 ,-,-,-,-,-,-,$20.00 ,-,-,-,-,$75.12 ,-,-,-,-,-,-,-,-,-,-,-,$29.98 ,-,-,-,-,-,-,$24.99 ,-,-,-,-,$33.19 ,-,-,-,-,-,-,-,-,-,-,-,$99.69 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,4,-,-,-,-,1
77%,-,47%,-,-,yes,7/12/25 10:04,https://www.amazon.com/dp/0789447398,https://keepa.com/#!product/1-0789447398,Big Book of Trucks,7/24/25 10:16,7/23/25 18:34,-,-,-,$5.37 ,15.00%,4/15/11,Books,"Children's Books, Cars, Trains & Things That Go, Cars & Trucks","Books > Subjects > Children's Books > Cars, Trains & Things That Go > Cars & Trucks",789447398,-,-,Dk Pub,DK,-,-,-,"Bingham, Caroline",-,Hardcover,-,-,1999,-,-,0.63 kg,0.9 cm,36.0 cm,27.3 cm,-,-,-,-,"1,474,909","1,126,880",-,"1,300,323","1,549,015","1,318,429",-,-,-,-,3,-,-,-,68,-,-,-,-,-,333.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,72.69,-,-,-,-,-,-,-,-,-,-,-,70.35,$68.85 ,-,-,-,-,-,-,-,-,-,-,$104.17 ,-,-,-,-,-,-,$73.92 ,-,-,-,-,$37.52 ,-,-,-,-,-,-,$22.42 ,-,-,-,-,$42.15 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$72.17 ,-,-,-,-,-,-,$73.92 ,-,-,-,-,$44.69 ,-,-,-,-,-,-,$22.42 ,-,-,-,-,$48.60 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,1,4,-,-,-,-,6
76%,-,87%,-,-,yes,7/24/25 4:40,https://www.amazon.com/dp/0785105808,https://keepa.com/#!product/1-0785105808,Return to the Amalgam Age of Comics: The Marvel Comics Collection,7/24/25 10:16,7/24/25 4:40,-,-,-,$3.33 ,15.00%,6/23/15,Books,"Comics & Graphic Novels, Publishers, Marvel",Books > Subjects > Comics & Graphic Novels > Publishers > Marvel,785105808,-,-,Marvel Enterprises,-,-,-,-,"Busiek, Kurt",-,Paperback,-,-,-,-,-,0.20 kg,1.3 cm,25.7 cm,16.5 cm,-,-,-,-,"346,614","6,693,992",-,"5,997,573","5,306,643","5,186,808",-,-,-,-,1,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$29.95 ,-,-,-,-,$196.40 ,-,-,-,-,-,-,$25.62 ,-,-,-,-,$195.90 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$54.99 ,-,-,-,-,$200.16 ,-,-,-,-,-,-,$29.96 ,-,-,-,-,$290.09 ,-,-,-,-,-,-,$29.94 ,-,-,-,-,$220.78 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,9,-,-,-,-,6