Percent Down 90,Avg. Price 90,Percent Down 365,Avg. Price 365,Price Now,Shipping Included,Deal found,AMZ link,Keepa Link,Title,last update,last price change,Changed,1yr. Avg.,% Down,Trend,Sales Rank - Reference,Reviews - Rating,Reviews - Review Count,FBA Pick&Pack Fee,Referral Fee %,Tracking since,Categories - Root,Categories - Sub,Categories - Tree,ASIN,Freq. Bought Together,Type,Manufacturer,Brand,Product Group,Variation Attributes,Item Type,Author,Contributors,Binding,Condition,Number of Items,Number of Pages,Publication Date,Languages,Package - Quantity,Package Weight,Package Height,Package Length,Package Width,Listed since,Edition,Release Date,Format,Sales Rank - Current,Sales Rank - 30 days avg.,Sales Rank - 60 days avg.,Sales Rank - 90 days avg.,Sales Rank - 180 days avg.,Sales Rank - 365 days avg.,Sales Rank - Lowest,Sales Rank - Lowest 365 days,Sales Rank - Highest,Sales Rank - Highest 365 days,Sales Rank - Drops last 30 days,Sales Rank - Drops last 60 days,Sales Rank - Drops last 90 days,Sales Rank - Drops last 180 days,Sales Rank - Drops last 365 days,Seller ID,Seller,Buy Box - Current,Buy Box - 30 days avg.,Buy Box - 60 days avg.,Buy Box - 90 days avg.,Buy Box - 180 days avg.,Buy Box - 365 days avg.,Buy Box - Lowest,Buy Box - Lowest 365 days,Buy Box - Highest,Buy Box - Highest 365 days,Buy Box - 90 days OOS,Buy Box - Stock,Amazon - Current,Amazon - 30 days avg.,Amazon - 60 days avg.,Amazon - 90 days avg.,Amazon - 180 days avg.,Amazon - 365 days avg.,Amazon - Lowest,Amazon - Lowest 365 days,Amazon - Highest,Amazon - Highest 365 days,Amazon - 90 days OOS,Amazon - Stock,New - Current,New - 30 days avg.,New - 60 days avg.,New - 90 days avg.,New - 180 days avg.,New - 365 days avg.,New - Lowest,New - Lowest 365 days,New - Highest,New - Highest 365 days,New - 90 days OOS,New - Stock,"New, 3rd Party FBA - Current","New, 3rd Party FBA - 30 days avg.","New, 3rd Party FBA - 60 days avg.","New, 3rd Party FBA - 90 days avg.","New, 3rd Party FBA - 180 days avg.","New, 3rd Party FBA - 365 days avg.","New, 3rd Party FBA - Lowest","New, 3rd Party FBA - Lowest 365 days","New, 3rd Party FBA - Highest","New, 3rd Party FBA - Highest 365 days","New, 3rd Party FBA - 90 days OOS","New, 3rd Party FBA - Stock","New, 3rd Party FBM - Current","New, 3rd Party FBM - 30 days avg.","New, 3rd Party FBM - 60 days avg.","New, 3rd Party FBM - 90 days avg.","New, 3rd Party FBM - 180 days avg.","New, 3rd Party FBM - 365 days avg.","New, 3rd Party FBM - Lowest","New, 3rd Party FBM - Lowest 365 days","New, 3rd Party FBM - Highest","New, 3rd Party FBM - Highest 365 days","New, 3rd Party FBM - 90 days OOS","New, 3rd Party FBM - Stock",Buy Box Used - Current,Buy Box Used - 30 days avg.,Buy Box Used - 60 days avg.,Buy Box Used - 90 days avg.,Buy Box Used - 180 days avg.,Buy Box Used - 365 days avg.,Buy Box Used - Lowest,Buy Box Used - Lowest 365 days,Buy Box Used - Highest,Buy Box Used - Highest 365 days,Buy Box Used - 90 days OOS,Buy Box Used - Stock,Used - Current,Used - 30 days avg.,Used - 60 days avg.,Used - 90 days avg.,Used - 180 days avg.,Used - 365 days avg.,Used - Lowest,Used - Lowest 365 days,Used - Highest,Used - Highest 365 days,Used - 90 days OOS,Used - Stock,"Used, like new - Current","Used, like new - 30 days avg.","Used, like new - 60 days avg.","Used, like new - 90 days avg.","Used, like new - 180 days avg.","Used, like new - 365 days avg.","Used, like new - Lowest","Used, like new - Lowest 365 days","Used, like new - Highest","Used, like new - Highest 365 days","Used, like new - 90 days OOS","Used, like new - Stock","Used, very good - Current","Used, very good - 30 days avg.","Used, very good - 60 days avg.","Used, very good - 90 days avg.","Used, very good - 180 days avg.","Used, very good - 365 days avg.","Used, very good - Lowest","Used, very good - Lowest 365 days","Used, very good - Highest","Used, very good - Highest 365 days","Used, very good - 90 days OOS","Used, very good - Stock","Used, good - Current","Used, good - 30 days avg.","Used, good - 60 days avg.","Used, good - 90 days avg.","Used, good - 180 days avg.","Used, good - 365 days avg.","Used, good - Lowest","Used, good - Lowest 365 days","Used, good - Highest","Used, good - Highest 365 days","Used, good - 90 days OOS","Used, good - Stock","Used, acceptable - Current","Used, acceptable - 30 days avg.","Used, acceptable - 60 days avg.","Used, acceptable - 90 days avg.","Used, acceptable - 180 days avg.","Used, acceptable - 365 days avg.","Used, acceptable - Lowest","Used, acceptable - Lowest 365 days","Used, acceptable - Highest","Used, acceptable - Highest 365 days","Used, acceptable - 90 days OOS","Used, acceptable - Stock",List Price - Current,List Price - 30 days avg.,List Price - 60 days avg.,List Price - 90 days avg.,List Price - 180 days avg.,List Price - 365 days avg.,List Price - Lowest,List Price - Lowest 365 days,List Price - Highest,List Price - Highest 365 days,List Price - 90 days OOS,List Price - Stock,New Offer Count - Current,New Offer Count - 30 days avg.,New Offer Count - 60 days avg.,New Offer Count - 90 days avg.,New Offer Count - 180 days avg.,New Offer Count - 365 days avg.,Used Offer Count - Current,Used Offer Count - 30 days avg.,Used Offer Count - 60 days avg.,Used Offer Count - 90 days avg.,Used Offer Count - 180 days avg.,Used Offer Count - 365 days avg.,Seller Rank,Seller_Quality_Score,Best Price,Recent Inferred Sale Price,Seasonality Type,Detailed_Seasonality,Sells,Peak Season,Expected Peak Price,Trough Season,Expected Trough Price,Profit Confidence,Min. Listing Price,All-in Cost,Profit,Margin,Total AMZ fees
80%,-,59%,-,-,yes,2025-09-26T06:44:00-04:00,https://www.amazon.com/dp/0977226239?psc=1&aod=1,https://keepa.com/#!product/1-0977226239,Commentaries For Biblical Expositors,2025-10-04 14:22:00,2025-09-26 06:44:00,-,$26.90,7%,⇧,-,-,-,$4.99,14.98%,2012-12-18,Books,-,Books > Subjects,0977226239,-,-,Kress Christian Publications,Kress Christian Publications,-,-,-,Dr. Jim Rosscup,-,paperback,good,-,-,2003-12-01,-,-,0.53 kg,1.9 cm,25.4 cm,16.9 cm,-,-,-,-,"1,012,411","1,803,600",-,"1,989,651","1,620,388","1,460,578",-,-,-,-,2,-,-,-,20,A1GM94LO9XJSTW,N's Collection's,-,-,-,-,-,20.46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34.67,-,-,-,-,-,-,-,-,-,-,-,40.69,$24.98,-,-,-,-,-,-,-,-,-,-,$20.38,-,-,-,-,-,-,$25.00,-,-,-,-,$93.74,-,-,-,-,-,-,$24.99,-,-,-,-,$60.92,-,-,-,-,-,-,$30.00,-,-,-,-,$151.09,-,-,-,-,-,-,$24.99,-,-,-,-,$106.21,-,-,-,-,-,-,$25.00,-,-,-,-,$67.95,-,-,-,-,-,-,-,-,-,-,-,$36.96,-,-,-,-,-,-,$24.99,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,1,5,-,-,-,-,4,58,0.84/10,$24.99,$23.87,Seasonal,None,All Year,Nov,$26.28,May,$8.97,51%,41.7078684,37.916244,-11.636243999999998,-44.27794520547944,8.926744000000001
80%,-,83%,-,-,no,2025-10-02T08:18:00-04:00,https://www.amazon.com/dp/5699415327?psc=1&aod=1,https://keepa.com/#!product/1-5699415327,Ognennyy bog Marranov (il. V. Kanivtsa) (#4),2025-10-04 14:22:00,2025-10-04 10:40:00,-,$69.00,42%,⇧,-,-,-,$5.52,15.01%,2018-09-04,Books,-,Books > Subjects,5699415327,-,-,"EKSMO, M",Eksmo,-,-,-,Volkov Aleksandr Melentevich,-,Hardcover,very good,-,-,2000-01-02,-,-,0.72 kg,2.8 cm,23.2 cm,16.7 cm,2011-05-31,-,-,-,"867,626","2,386,413",-,"1,582,154","1,630,829","1,986,064",-,-,-,-,1,-,-,-,18,A1725BWZB0RC19,angel v distibution,$34.77,-,-,-,-,28.68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$34.77,-,-,-,-,23.22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$39.48,-,-,-,-,$28.62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$22.85,-,-,-,-,$130.68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$148.31,-,-,-,-,$139.20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$145.50,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,3,3,-,-,-,-,1,605,0.97/10,$39.98,$24.08,Seasonal,None,All Year,May,$170.40,Sep,$25.37,51%,87.797644,79.81604,90.58396,53.15960093896713,31.097040000000003
79%,-,6%,-,-,yes,2025-10-04T13:14:00-04:00,https://www.amazon.com/dp/0962911925?psc=1&aod=1,https://keepa.com/#!product/1-0962911925,The Spiritual Journey of Joel S. Goldsmith,2025-10-04 14:22:00,2025-10-04 13:14:00,-,$5.21,0%,⇧,-,-,-,$3.43,15.00%,2016-03-30,Books,"Biographies & Memoirs, Leaders & Notable People, Religious",Books > Subjects > Biographies & Memoirs > Leaders & Notable People > Religious,0962911925,-,-,Devorss & Co,Brand: Devorss n Co (Txp),-,-,-,"Sinkler, Lorraine",-,paperback,acceptable,-,-,2000-01-02,-,-,0.25 kg,1.8 cm,20.3 cm,14.2 cm,-,-,-,-,"411,583","1,264,632",-,"1,497,539","1,181,607","1,046,355",-,-,-,-,4,-,-,-,46,A1ZMSWN8P7M5C4,ThriftBooks-Dallas,$91.98,-,-,-,-,38.72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$91.98,-,-,-,-,62.71,-,-,-,-,-,-,$91.98,-,-,-,-,28.40,$15.95,-,-,-,-,-,-,-,-,-,-,$190.65,-,-,-,-,-,-,$29.98,-,-,-,-,$35.45,-,-,-,-,-,-,$25.32,-,-,-,-,$27.00,-,-,-,-,-,-,-,-,-,-,-,$11.43,-,-,-,-,-,-,$29.30,-,-,-,-,$20.59,-,-,-,-,-,-,$29.30,-,-,-,-,$34.92,-,-,-,-,-,-,$29.30,-,-,-,-,$12.55,-,-,-,-,-,-,$12.95,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,10,-,-,-,-,10,426408,0.95/10,$29.30,$11.52,Seasonal,None,All Year,May,$8.96,Jul,$0.24,52%,42.117900000000006,38.289,-29.329,-327.3325892857143,4.774
70%,-,15%,-,-,yes,2025-10-04T06:44:00-04:00,https://www.amazon.com/dp/162086682X?psc=1&aod=1,https://keepa.com/#!product/1-162086682X,We'll Call You Mr. Met!,2025-10-04 14:22:00,2025-10-04 06:44:00,-,$16.64,0%,⇩,-,-,-,$3.60,15.01%,2015-09-11,Books,"Children's Books, Sports & Outdoors, Baseball",Books > Subjects > Children's Books > Sports & Outdoors > Baseball,162086682X,-,-,Mascot Books,Mascot Books,-,-,-,John T. Williams,-,hardcover,good,-,-,2015-11-03,-,-,0.39 kg,1.0 cm,25.7 cm,20.8 cm,2015-08-07,-,-,-,"1,148,225","1,290,342",-,"1,232,274","1,061,467","724,764",-,-,-,-,8,-,-,-,145,A2QVWT0ESGUXPH,ThriftBooks-Phoenix,-,-,-,-,-,15.96,-,-,-,-,-,-,-,-,-,-,-,$15.97,-,-,-,-,-,-,-,-,-,-,-,15.93,-,-,-,-,-,-,-,-,-,-,-,14.97,$13.14,-,-,-,-,-,-,-,-,-,-,$29.60,-,-,-,-,-,-,$29.74,-,-,-,-,$36.95,-,-,-,-,-,-,$29.74,-,-,-,-,$35.04,-,-,-,-,-,-,-,-,-,-,-,$13.52,-,-,-,-,-,-,-,-,-,-,-,$17.43,-,-,-,-,-,-,$29.74,-,-,-,-,$35.22,-,-,-,-,-,-,-,-,-,-,-,$21.06,-,-,-,-,-,-,$15.99,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,2,2,-,-,-,-,4,409901,0.95/10,$29.74,$21.09,Seasonal,None,All Year,Jul,$25.30,Aug,$4.27,79%,45.511983,41.37453,-16.07453,-63.53569169960473,7.397530000000001
78%,-,77%,-,-,no,2025-09-23T02:20:00-04:00,https://www.amazon.com/dp/8131907554?psc=1&aod=1,https://keepa.com/#!product/1-8131907554,Applying Bach Flower Therapy To The Healing Profession Of Homoeopathy,2025-10-04 14:22:00,2025-10-04 10:44:00,-,Too New,Too New,⇧,-,-,-,$4.55,14.99%,2016-12-29,Books,"Health, Fitness & Dieting, Alternative Medicine","Books > Subjects > Health, Fitness & Dieting > Alternative Medicine",8131907554,-,-,B. Jain Publishing,-,-,-,-,Dr. Cornelia Richardson-Boedler,-,paperback,New,-,-,2003-04-01,-,-,0.36 kg,2.3 cm,21.3 cm,13.7 cm,2011-04-07,-,-,-,"1,073,159","3,977,536",-,"3,972,886","3,705,928","3,246,594",-,-,-,-,1,-,-,-,4,A30UH7RV1UCIV3,tabletopart,$21.55,-,-,-,-,28.47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$21.32,-,-,-,-,27.06,-,-,-,-,-,-,-,-,-,-,-,-,$21.50,-,-,-,-,-,$21.32,-,-,-,-,$28.31,-,-,-,-,-,-,-,-,-,-,-,$149.99,-,-,-,-,-,-,$21.30,-,-,-,-,$91.58,-,-,-,-,-,-,$21.30,-,-,-,-,$21.30,-,-,-,-,-,-,-,-,-,-,-,$36.15,-,-,-,-,-,-,$26.14,-,-,-,-,$119.76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$22.50,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,2,-,-,-,-,1,44656,0.91/10,$21.30,$21.32,Seasonal,None,All Year,Jan,$28.76,Sep,$21.32,21%,41.7627364,37.966124,-9.206123999999999,-32.010166898470096,8.861124
78%,-,90%,-,-,yes,2025-10-04T02:32:00-04:00,https://www.amazon.com/dp/0990926907?psc=1&aod=1,https://keepa.com/#!product/1-0990926907,Tuxedo Park: The Gift of Nature,2025-10-04 14:22:00,2025-10-04 02:32:00,-,Too New,Too New,⇧,-,-,-,$7.00,15.00%,2017-04-15,Books,-,Books > Subjects,0990926907,-,-,Carol Monderer Publishing,-,-,-,-,Chiu Yin Hempel,-,Hardcover,very good,-,-,2015-09-26,-,-,1.45 kg,3.0 cm,26.2 cm,23.7 cm,2015-09-04,-,-,-,"1,091,206","7,709,056",-,"7,772,873","7,207,918","6,264,312",-,-,-,-,1,-,-,-,1,A1NUD6LVRJ5MT7,more-than-words,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$59.99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$36.55,-,-,-,-,$226.96,-,-,-,-,-,-,$26.05,-,-,-,-,$258.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$30.04,-,-,-,-,$259.62,-,-,-,-,-,-,$36.55,-,-,-,-,$254.74,-,-,-,-,-,-,$36.56,-,-,-,-,$364.73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,4,-,-,-,-,2,64872,0.95/10,$30.04,$32.57,Seasonal,None,All Year,Jun,$150.00,Oct,$61.26,19%,70.17120000000001,63.792,86.208,57.472,29.5
78%,-,82%,-,-,yes,2025-10-03T07:30:00-04:00,https://www.amazon.com/dp/0521052076?psc=1&aod=1,https://keepa.com/#!product/1-0521052076,A Mathematician's Apology,2025-10-04 14:22:00,2025-10-03 07:30:00,-,$40.62,50%,⇧,-,-,-,$3.43,15.00%,2011-05-03,Books,"Humor & Entertainment, Puzzles & Games, Math Games",Books > Subjects > Humor & Entertainment > Puzzles & Games > Math Games,0521052076,-,-,Cambridge University Press,Cambridge University Press,-,-,-,"Hardy, G. H.",-,hardcover,good,-,-,1967-09-01,-,-,0.25 kg,1.8 cm,18.5 cm,13.0 cm,-,-,-,-,"560,299","2,124,487",-,"2,429,097","2,379,140","2,441,487",-,-,-,-,3,-,-,-,14,AN9NQZD6552ND,mountain,-,-,-,-,-,290.87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,561.66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$607.54,-,-,-,-,-,-,$20.16,-,-,-,-,$119.37,-,-,-,-,-,-,$20.16,-,-,-,-,$114.44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$22.45,-,-,-,-,-,-,$20.42,-,-,-,-,$114.53,-,-,-,-,-,-,$20.16,-,-,-,-,$116.02,-,-,-,-,-,-,$22.95,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,0,4,-,-,-,-,4,14724,0.96/10,$20.16,$20.16,Seasonal,None,All Year,Jul,$70.30,Sep,$21.03,43%,41.682300000000005,37.893,32.407,46.09815078236131,13.975
78%,-,77%,-,-,no,2025-10-04T12:22:00-04:00,https://www.amazon.com/dp/1912870010?psc=1&aod=1,https://keepa.com/#!product/1-1912870010,Suburani Book 1 (UK edition),2025-10-04 14:22:00,2025-10-04 12:22:00,-,$100.18,71%,⇧,-,-,-,$5.52,15.00%,2021-03-28,Books,-,Books > Subjects,1912870010,-,-,-,-,-,-,-,Hands Up Education,-,Paperback,very good,-,-,2020-06-08,-,-,0.79 kg,1.6 cm,25.7 cm,20.8 cm,2021-01-30,-,-,-,"531,814","2,166,649",-,"2,890,324","3,136,726","3,300,500",-,-,-,-,2,-,-,-,6,A9G4IDK5ZNW30,Zoverstocks,-,-,-,-,-,158.65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,158.65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$157.99,-,-,-,-,-,-,$29.16,-,-,-,-,$98.26,-,-,-,-,-,-,$25.16,-,-,-,-,$109.20,-,-,-,-,-,-,-,-,-,-,-,$144.99,-,-,-,-,-,-,$47.67,-,-,-,-,$105.35,-,-,-,-,-,-,$29.15,-,-,-,-,$89.41,-,-,-,-,-,-,$29.16,-,-,-,-,$29.53,-,-,-,-,-,-,$69.99,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,0,6,-,-,-,-,3,846529,0.96/10,$29.15,$25.47,Seasonal,None,All Year,Aug,$112.89,May,$37.60,43%,65.78110000000001,59.801,53.089,47.02719461422624,22.4535
76%,-,54%,-,-,yes,2025-09-27T23:48:00-04:00,https://www.amazon.com/dp/0802704190?psc=1&aod=1,https://keepa.com/#!product/1-0802704190,The Spirits of '76.,2025-10-04 14:22:00,2025-10-04 08:46:00,-,$84.50,65%,⇩,-,-,-,$3.53,15.00%,2016-03-30,Books,"Reference, Almanacs & Yearbooks",Books > Subjects > Reference > Almanacs & Yearbooks,0802704190,-,-,Walker & Co,Brand: Walker n Co,-,-,-,"Sloane, Eric",-,hardcover,good,-,-,2000-01-02,-,-,0.29 kg,1.5 cm,25.4 cm,18.0 cm,-,-,-,-,"325,399","1,240,967",-,"1,321,488","1,100,935","1,634,665",-,-,-,-,5,-,-,-,69,A365C2XG0O7B0H,ThriftBooks-Chicago,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$718.79,-,-,-,-,19.99,-,-,-,-,-,-,-,-,-,-,-,-,$44.90,-,-,-,-,-,$723.54,-,-,-,-,$23.98,-,-,-,-,-,-,$85.00,-,-,-,-,$70.31,-,-,-,-,-,-,$29.99,-,-,-,-,$64.81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$172.23,-,-,-,-,$77.89,-,-,-,-,-,-,$29.99,-,-,-,-,$69.70,-,-,-,-,-,-,$29.99,-,-,-,-,$71.59,-,-,-,-,-,-,$6.95,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,16,-,-,-,-,16,1066165,0.95/10,$29.99,$29.99,Seasonal,None,All Year,May,$128.92,Feb,$3.75,68%,62.818250000000006,57.1075,71.81249999999999,55.70314923983866,22.868
76%,-,61%,-,-,no,2025-10-01T00:42:00-04:00,https://www.amazon.com/dp/0528022512?psc=1&aod=1,https://keepa.com/#!product/1-0528022512,Rand McNally Road Atlas 2021 United States/Canada/Mexico,2025-10-04 14:22:00,2025-10-01 00:42:00,-,$45.31,43%,⇩,-,-,-,$3.24,15.00%,2020-03-10,Books,"Reference, Atlases & Maps, Historical",Books > Subjects > Reference > Atlases & Maps > Historical,0528022512,-,-,Rand McNally,Rand McNally,-,-,-,Rand McNally,-,Paperback,acceptable,-,-,2020-04-20,-,-,0.17 kg,0.6 cm,27.2 cm,11.2 cm,2019-11-19,-,-,-,"1,345,441","1,225,259",-,"1,471,024","1,276,593","1,073,405",-,-,-,-,4,-,-,-,29,AUCMUBKVY604O,Starbook Store,-,-,-,-,-,20.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.18,-,-,-,-,-,-,-,-,-,-,-,20.00,$8.95,-,-,-,-,-,-,-,-,-,-,$32.15,-,-,-,-,-,-,-,-,-,-,-,$106.04,-,-,-,-,-,-,$26.00,-,-,-,-,$66.59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$26.00,-,-,-,-,$212.39,-,-,-,-,-,-,-,-,-,-,-,$79.23,-,-,-,-,-,-,-,-,-,-,-,$92.36,-,-,-,-,-,-,$8.95,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,1,1,-,-,-,-,3,284,0.93/10,$26.00,$15.00,Seasonal,Travel,May - Aug,Aug,$43.39,Apr,$13.82,55%,48.16735000000001,43.788500000000006,-0.3985000000000056,-0.9184143811938364,9.7485
76%,-,72%,-,-,no,2025-09-30T00:20:00-04:00,https://www.amazon.com/dp/B00V456QDK?psc=1&aod=1,https://keepa.com/#!product/1-B00V456QDK,How to Help Your Husband Get Ahead,2025-10-04 14:22:00,2025-09-30 00:20:00,-,Too New,Too New,⇧,-,-,-,$5.37,15.01%,2018-01-11,Books,-,Books > Subjects,B00V456QDK,-,-,Greystone,-,-,-,-,"Carnegie, Mrs Dale",-,Hardcover,very good,-,-,2000-01-02,-,-,0.68 kg,5.1 cm,22.9 cm,15.2 cm,2015-03-24,-,-,-,"1,147,829","6,069,238",-,"4,791,057","4,791,057","4,791,057",-,-,-,-,2,-,-,-,2,AJYLR0RXWWCF3,Banana Books LLC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$33.85,-,-,-,-,$108.87,-,-,-,-,-,-,$28.45,-,-,-,-,$102.83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$104.91,-,-,-,-,-,-,-,-,-,-,-,$103.38,-,-,-,-,-,-,$33.85,-,-,-,-,$115.13,-,-,-,-,-,-,$119.82,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,1,-,-,-,-,2,198,0.78/10,$33.85,$8.00,Year-Round,None,All Year,-,-,-,-,33%,0.0,0.0,0.0,0.0,0.0
